kind,priority_or_action,detail,status
ticket,P1,2,open
ticket,P2,9,open
ticket,P3,35,open
ticket,P4,14,open
alert,P1,"Customer reports two Germany stores dropping within minutes of each other, suggesting a potential widespread connectivity incident affecting multiple sites and requiring technical investigation. The message requests escalation, but no protected action or ticket creation is explicitly requested.",open
alert,P1,Customer reports both German stores went down within minutes of each other and suspects a PoP-related outage; this indicates an active multi-site connectivity incident requiring technical troubleshooting.,open
alert,P1,"Customer reports two German stores dropping within minutes of each other, suggesting a widespread connectivity incident affecting multiple sites. This is a telemetry-led troubleshooting case; urgency is high due to simultaneous outage across stores.",open
alert,P1,"Customer reports simultaneous outage affecting both German stores within minutes and attributes it to a PoP issue. This is a telemetry-led incident/troubleshooting case with severe business impact, so route technical with P1 priority.",open
alert,P1,"Customer reports both German stores dropped within 5 minutes of each other and suspects a Frankfurt PoP issue, indicating a severe connectivity incident affecting multiple sites.",open
alert,P1,"Customer reports simultaneous outage at two German stores within minutes, suggesting a high-severity connectivity incident. The message references a PoP suspicion and urgent business impact, but no protected action or ticket request is explicitly made.",open
alert,P1,"Two German stores reportedly went down within 5 minutes of each other; likely a widespread connectivity incident affecting multiple sites and requiring telemetry-led troubleshooting. Customer requests escalation, but no protected action or ticket creation is explicitly requested.",open
approval,c2_verdict_override,ACC-1004: A protected request requires policy evidence and human review.,pending
approval,service_credit,ACC-1007: A protected request requires policy evidence and human review.,pending
approval,service_credit,ACC-1011: A protected request requires policy evidence and human review.,pending
approval,c2_verdict_override,ACC-1004: A protected request requires policy evidence and human review.,pending
approval,service_credit,ACC-1007: A protected request requires policy evidence and human review.,pending
approval,service_credit,ACC-1011: A protected request requires policy evidence and human review.,pending
approval,c2_verdict_override,ACC-1004: A protected request requires policy evidence and human review.,pending
approval,service_credit,ACC-1007: A protected request requires policy evidence and human review.,pending
approval,service_credit,ACC-1011: A protected request requires policy evidence and human review.,pending
approval,c2_verdict_override,ACC-1004: Customer requests a C2 verdict override to whitelist a domain account-wide for anti-malware blocking.,pending
approval,service_credit,ACC-1011: Customer is requesting a service credit for a reported outage and is asking for confirmation of the credit.,pending
approval,c2_verdict_override,ACC-1004: Customer requests an account-wide override/whitelist for a domain currently flagged by the anti-malware engine as C2.,pending
approval,service_credit,ACC-1011: Customer is requesting a service credit related to an outage and cites an incident and dollar amount.,pending
approval,c2_verdict_override,ACC-1004: Customer requests an account-wide C2 verdict override/whitelist for a domain currently blocked as C2.,pending
approval,service_credit,ACC-1011: Customer is requesting a service credit related to an outage claim.,pending
approval,c2_verdict_override,ACC-1004: Customer requests a C2 verdict override to whitelist a domain account-wide.,pending
approval,service_credit,"ACC-1011: Customer is requesting a service credit related to an outage, which requires the Action specialist. Priority set to P3 based on the billing/credit request context.",pending
approval,c2_verdict_override,ACC-1004: Customer requests an account-wide whitelist/override for a domain currently flagged as C2 by anti-malware.,pending
approval,service_credit,ACC-1011: Customer is requesting a service credit for a reported outage. This is an action-type request and falls under protected_action service_credit.,pending
approval,service_credit,ACC-1011: Customer is requesting a service credit related to a reported outage and is asking for confirmation of the credit.,pending
approval,service_credit,ACC-1011: Customer is requesting a service credit related to an outage claim for Aug 21.,pending
