ts,link,packet_loss_pct,latency_ms,jitter_ms,upstream_mbps,downstream_mbps
2026-08-27T17:00:00Z,WAN1,0.2,17.6,3.1,76.6,185.6
2026-08-27T17:05:00Z,WAN1,0.13,14.2,1.8,83.1,253.3
2026-08-27T17:10:00Z,WAN1,0.09,18.0,3.0,38.1,56.3
2026-08-27T17:15:00Z,WAN1,0.01,20.6,1.7,48.2,172.6
2026-08-27T17:20:00Z,WAN1,0.08,17.9,3.4,42.3,216.4
2026-08-27T17:25:00Z,WAN1,0.26,24.2,2.7,97.6,202.1
2026-08-27T17:30:00Z,WAN1,0.23,8.6,2.5,62.9,51.9
2026-08-27T17:35:00Z,WAN1,0.04,22.0,1.6,76.0,102.0
2026-08-27T17:40:00Z,WAN1,0.21,14.7,2.3,65.7,112.3
2026-08-27T17:45:00Z,WAN1,0.38,15.8,1.6,94.2,82.7
2026-08-27T17:50:00Z,WAN1,0.3,21.2,5.6,71.9,234.3
2026-08-27T17:55:00Z,WAN1,0.32,21.9,4.0,109.4,233.7
2026-08-27T18:00:00Z,WAN1,0.15,14.3,5.2,112.7,138.1
2026-08-27T18:05:00Z,WAN1,0.37,21.5,4.5,53.9,111.6
2026-08-27T18:10:00Z,WAN1,0.12,19.7,3.3,42.3,78.1
2026-08-27T18:15:00Z,WAN1,0.32,11.2,1.9,73.1,54.2
2026-08-27T18:20:00Z,WAN1,0.16,11.5,5.3,75.4,168.4
2026-08-27T18:25:00Z,WAN1,0.19,8.3,5.2,114.5,42.1
2026-08-27T18:30:00Z,WAN1,0.23,21.4,5.2,115.8,275.1
2026-08-27T18:35:00Z,WAN1,0.35,10.5,6.0,118.5,207.5
2026-08-27T18:40:00Z,WAN1,0.35,12.4,3.2,30.9,162.6
2026-08-27T18:45:00Z,WAN1,0.4,20.0,3.3,51.5,95.1
2026-08-27T18:50:00Z,WAN1,0.17,12.9,3.4,77.1,145.4
2026-08-27T18:55:00Z,WAN1,0.24,15.0,3.5,68.6,259.2
2026-08-27T19:00:00Z,WAN1,0.36,17.9,4.8,50.2,82.3
2026-08-27T19:05:00Z,WAN1,0.13,10.4,4.8,111.6,207.0
2026-08-27T19:10:00Z,WAN1,0.09,10.2,4.9,77.4,77.8
2026-08-27T19:15:00Z,WAN1,0.4,20.8,5.8,118.3,243.8
2026-08-27T19:20:00Z,WAN1,0.37,24.0,1.8,54.7,179.7
2026-08-27T19:25:00Z,WAN1,0.26,10.6,2.4,97.2,291.3
2026-08-27T19:30:00Z,WAN1,0.19,23.9,5.4,110.1,89.2
2026-08-27T19:35:00Z,WAN1,0.15,19.3,5.1,103.2,71.3
2026-08-27T19:40:00Z,WAN1,0.27,8.4,2.6,25.2,172.9
